respondent,years_coding,years_coding_prof
62912,12-14 years,0-2 years
62915,6-8 years,3-5 years
62921,6-8 years,3-5 years
62934,6-8 years,0-2 years
62942,6-8 years,0-2 years
62946,6-8 years,0-2 years
62967,15-17 years,6-8 years
62977,6-8 years,0-2 years
62982,21-23 years,15-17 years
62984,6-8 years,3-5 years
62994,6-8 years,3-5 years
63000,24-26 years,0-2 years
63001,9-11 years,0-2 years
63009,18-20 years,12-14 years
63034,0-2 years,0-2 years
63038,21-23 years,12-14 years
63056,9-11 years,6-8 years
63059,6-8 years,3-5 years
63063,9-11 years,3-5 years
63071,30 or more years,27-29 years
63072,6-8 years,3-5 years
63074,6-8 years,3-5 years
63085,30 or more years,30 or more years
63105,6-8 years,3-5 years
63122,3-5 years,0-2 years
63133,3-5 years,0-2 years
63162,0-2 years,0-2 years
63171,3-5 years,0-2 years
63177,6-8 years,0-2 years
63203,12-14 years,9-11 years
63212,3-5 years,6-8 years
63213,9-11 years,6-8 years
63219,0-2 years,0-2 years
63237,9-11 years,6-8 years
63246,18-20 years,15-17 years
63269,21-23 years,18-20 years
63272,9-11 years,0-2 years
63279,6-8 years,6-8 years
63310,15-17 years,15-17 years
63314,15-17 years,12-14 years
63316,30 or more years,30 or more years
63341,3-5 years,3-5 years
63354,15-17 years,15-17 years
63362,9-11 years,3-5 years
63395,3-5 years,0-2 years
63413,30 or more years,24-26 years
63430,3-5 years,3-5 years
63433,6-8 years,3-5 years
63459,3-5 years,3-5 years
63461,9-11 years,0-2 years
63462,9-11 years,3-5 years
63463,6-8 years,6-8 years
63514,9-11 years,6-8 years
63518,24-26 years,24-26 years
63534,12-14 years,9-11 years
63539,27-29 years,9-11 years
63545,21-23 years,21-23 years
63552,3-5 years,0-2 years
63554,3-5 years,3-5 years
63561,3-5 years,0-2 years
63566,18-20 years,15-17 years
63580,30 or more years,30 or more years
63582,9-11 years,3-5 years
63584,9-11 years,0-2 years
63586,18-20 years,12-14 years
63589,15-17 years,9-11 years
63596,24-26 years,6-8 years
63601,3-5 years,0-2 years
63618,12-14 years,12-14 years
63624,15-17 years,6-8 years
63653,15-17 years,15-17 years
63671,9-11 years,6-8 years
63689,15-17 years,12-14 years
63693,18-20 years,18-20 years
63734,9-11 years,3-5 years
63742,9-11 years,6-8 years
63812,3-5 years,0-2 years
63813,3-5 years,0-2 years
63814,15-17 years,15-17 years
63823,3-5 years,0-2 years
63832,6-8 years,3-5 years
63848,6-8 years,3-5 years
63884,3-5 years,0-2 years
63890,9-11 years,6-8 years
63901,18-20 years,18-20 years
63906,0-2 years,0-2 years
63912,0-2 years,0-2 years
63923,6-8 years,0-2 years
63951,9-11 years,9-11 years
63956,21-23 years,15-17 years
63959,6-8 years,0-2 years
63962,18-20 years,18-20 years
63966,12-14 years,6-8 years
63978,6-8 years,0-2 years
63994,18-20 years,18-20 years
64004,18-20 years,15-17 years
64028,15-17 years,6-8 years
64035,6-8 years,6-8 years
64036,9-11 years,6-8 years
64043,3-5 years,0-2 years
64052,12-14 years,12-14 years
64061,18-20 years,18-20 years
64066,6-8 years,3-5 years
64071,12-14 years,0-2 years
64084,9-11 years,6-8 years
64105,15-17 years,12-14 years
64126,6-8 years,6-8 years
64136,9-11 years,3-5 years
64175,18-20 years,18-20 years
64184,0-2 years,0-2 years
64207,24-26 years,15-17 years
64256,15-17 years,9-11 years
64262,6-8 years,3-5 years
64266,3-5 years,3-5 years
64267,27-29 years,27-29 years
64270,3-5 years,0-2 years
64277,6-8 years,6-8 years
64291,15-17 years,15-17 years
64301,15-17 years,9-11 years
64318,3-5 years,3-5 years
64336,6-8 years,0-2 years
64345,0-2 years,0-2 years
64352,9-11 years,6-8 years
64355,27-29 years,24-26 years
64362,30 or more years,3-5 years
64405,6-8 years,3-5 years
64411,6-8 years,3-5 years
64418,0-2 years,0-2 years
64421,9-11 years,9-11 years
64429,15-17 years,9-11 years
64476,6-8 years,6-8 years
64479,9-11 years,3-5 years
64521,6-8 years,3-5 years
64532,0-2 years,0-2 years
64543,3-5 years,3-5 years
64547,15-17 years,12-14 years
64551,15-17 years,9-11 years
64554,9-11 years,9-11 years
64560,6-8 years,6-8 years
64564,6-8 years,3-5 years
64568,30 or more years,30 or more years
64579,21-23 years,15-17 years
64581,6-8 years,6-8 years
64584,3-5 years,0-2 years
64602,3-5 years,0-2 years
64605,6-8 years,3-5 years
64609,18-20 years,12-14 years
64613,18-20 years,18-20 years
64626,3-5 years,0-2 years
64628,30 or more years,24-26 years
64657,15-17 years,3-5 years
64664,18-20 years,15-17 years
64692,21-23 years,21-23 years
64698,3-5 years,3-5 years
64714,27-29 years,9-11 years
64717,15-17 years,6-8 years
64722,15-17 years,9-11 years
64727,6-8 years,3-5 years
64768,30 or more years,30 or more years
64781,18-20 years,3-5 years
64796,6-8 years,3-5 years
64797,15-17 years,9-11 years
64813,12-14 years,9-11 years
64825,9-11 years,6-8 years
64832,3-5 years,0-2 years
64839,3-5 years,0-2 years
64854,24-26 years,21-23 years
64869,30 or more years,30 or more years
64878,27-29 years,12-14 years
64899,30 or more years,27-29 years
64918,21-23 years,21-23 years
64937,6-8 years,0-2 years
64946,12-14 years,6-8 years
64956,3-5 years,0-2 years
64959,15-17 years,15-17 years
64963,0-2 years,0-2 years
64965,18-20 years,12-14 years
64982,6-8 years,3-5 years
64989,3-5 years,3-5 years
65004,3-5 years,3-5 years
65008,18-20 years,0-2 years
65026,3-5 years,0-2 years
65037,0-2 years,0-2 years
65051,6-8 years,6-8 years
65103,12-14 years,6-8 years
65109,6-8 years,3-5 years
65114,3-5 years,3-5 years
65131,24-26 years,21-23 years
65137,3-5 years,3-5 years
65169,27-29 years,21-23 years
65174,30 or more years,30 or more years
65198,18-20 years,15-17 years
65204,6-8 years,0-2 years
65213,9-11 years,9-11 years
65231,0-2 years,0-2 years
65234,27-29 years,18-20 years
65247,9-11 years,0-2 years
65264,15-17 years,15-17 years
65268,18-20 years,18-20 years
65277,3-5 years,0-2 years
65279,21-23 years,18-20 years
65294,15-17 years,12-14 years
65297,6-8 years,6-8 years
65306,6-8 years,6-8 years
65315,9-11 years,9-11 years
65319,9-11 years,6-8 years
65327,3-5 years,3-5 years
65335,6-8 years,3-5 years
65352,3-5 years,0-2 years
65353,15-17 years,6-8 years
65363,3-5 years,0-2 years
65374,18-20 years,15-17 years
65379,18-20 years,6-8 years
65414,30 or more years,30 or more years
65415,9-11 years,9-11 years
65431,6-8 years,3-5 years
65433,12-14 years,3-5 years
65461,3-5 years,0-2 years
65464,18-20 years,18-20 years
65491,12-14 years,6-8 years
65497,3-5 years,3-5 years
65502,0-2 years,0-2 years
65511,3-5 years,0-2 years
65512,6-8 years,0-2 years
65516,30 or more years,30 or more years
65530,3-5 years,3-5 years
65542,0-2 years,0-2 years
65600,3-5 years,3-5 years
65607,3-5 years,0-2 years
65660,15-17 years,15-17 years
65671,9-11 years,6-8 years
65672,0-2 years,0-2 years
65678,3-5 years,3-5 years
65681,30 or more years,30 or more years
65696,3-5 years,3-5 years
65702,6-8 years,3-5 years
65708,12-14 years,0-2 years
65709,18-20 years,18-20 years
65744,3-5 years,0-2 years
65767,30 or more years,30 or more years
65772,18-20 years,18-20 years
65776,3-5 years,0-2 years
65778,30 or more years,30 or more years
65781,3-5 years,0-2 years
65801,30 or more years,30 or more years
65815,12-14 years,3-5 years
65823,15-17 years,9-11 years
65844,24-26 years,18-20 years
65848,0-2 years,0-2 years
65855,9-11 years,3-5 years
65857,6-8 years,3-5 years
65872,0-2 years,0-2 years
65875,9-11 years,9-11 years
65892,6-8 years,0-2 years
65895,15-17 years,9-11 years
65897,21-23 years,12-14 years
65917,0-2 years,0-2 years
65918,9-11 years,6-8 years
65958,0-2 years,0-2 years
65973,9-11 years,6-8 years
65974,21-23 years,18-20 years
65993,27-29 years,24-26 years
65997,3-5 years,3-5 years
66009,9-11 years,0-2 years
66017,9-11 years,3-5 years
66024,3-5 years,0-2 years
66036,9-11 years,3-5 years
66042,3-5 years,0-2 years
66043,3-5 years,0-2 years
66059,3-5 years,0-2 years
66084,12-14 years,9-11 years
66103,21-23 years,18-20 years
66118,3-5 years,3-5 years
66121,18-20 years,12-14 years
66145,0-2 years,0-2 years
66173,9-11 years,3-5 years
66185,3-5 years,3-5 years
66188,24-26 years,18-20 years
66193,9-11 years,6-8 years
66205,30 or more years,27-29 years
66234,18-20 years,18-20 years
66241,18-20 years,15-17 years
66246,12-14 years,9-11 years
66253,6-8 years,3-5 years
66264,21-23 years,18-20 years
66266,6-8 years,6-8 years
66291,27-29 years,18-20 years
66297,12-14 years,9-11 years
66308,12-14 years,9-11 years
66323,3-5 years,0-2 years
66329,3-5 years,0-2 years
66342,21-23 years,18-20 years
66348,6-8 years,3-5 years
66365,6-8 years,6-8 years
66377,30 or more years,30 or more years
66392,3-5 years,3-5 years
66396,15-17 years,9-11 years
66409,30 or more years,30 or more years
66427,6-8 years,3-5 years
66431,15-17 years,15-17 years
66441,12-14 years,6-8 years
66449,12-14 years,12-14 years
66450,15-17 years,12-14 years
66471,3-5 years,0-2 years
66477,12-14 years,12-14 years
66493,15-17 years,9-11 years
66513,12-14 years,6-8 years
66523,12-14 years,9-11 years
66526,0-2 years,0-2 years
66530,0-2 years,0-2 years
66541,30 or more years,30 or more years
66545,18-20 years,18-20 years
66554,21-23 years,21-23 years
66560,3-5 years,3-5 years
66569,9-11 years,9-11 years
66576,9-11 years,0-2 years
66609,3-5 years,3-5 years
66621,6-8 years,6-8 years
66622,6-8 years,3-5 years
66626,15-17 years,9-11 years
66637,30 or more years,30 or more years
66666,0-2 years,0-2 years
66679,0-2 years,0-2 years
66688,18-20 years,15-17 years
66721,0-2 years,0-2 years
66739,6-8 years,3-5 years
66740,3-5 years,3-5 years
66752,0-2 years,0-2 years
66799,3-5 years,3-5 years
66812,3-5 years,3-5 years
66824,24-26 years,18-20 years
66827,9-11 years,3-5 years
66835,12-14 years,3-5 years
66865,30 or more years,18-20 years
66868,3-5 years,0-2 years
66876,30 or more years,27-29 years
66881,18-20 years,12-14 years
66889,9-11 years,3-5 years
66894,15-17 years,12-14 years
66899,0-2 years,0-2 years
66915,24-26 years,21-23 years
66919,9-11 years,0-2 years
66920,6-8 years,0-2 years
66965,0-2 years,0-2 years
66991,6-8 years,6-8 years
67003,3-5 years,0-2 years
67016,30 or more years,30 or more years
67022,18-20 years,12-14 years
67036,30 or more years,24-26 years
67045,27-29 years,30 or more years
67053,3-5 years,0-2 years
67062,6-8 years,6-8 years
67072,21-23 years,21-23 years
67077,6-8 years,3-5 years
67088,6-8 years,6-8 years
67093,6-8 years,6-8 years
67104,0-2 years,0-2 years
67136,21-23 years,21-23 years
67145,6-8 years,0-2 years
67198,6-8 years,3-5 years
67218,0-2 years,0-2 years
67227,6-8 years,3-5 years
67240,3-5 years,3-5 years
67245,3-5 years,3-5 years
67274,0-2 years,0-2 years
67277,3-5 years,3-5 years
67306,3-5 years,3-5 years
67309,9-11 years,9-11 years
67318,6-8 years,3-5 years
67322,6-8 years,3-5 years
67325,3-5 years,0-2 years
67362,9-11 years,6-8 years
67389,30 or more years,27-29 years
67391,15-17 years,12-14 years
67392,12-14 years,6-8 years
67393,6-8 years,0-2 years
67395,3-5 years,0-2 years
67404,24-26 years,6-8 years
67409,12-14 years,6-8 years
67410,21-23 years,6-8 years
67421,21-23 years,12-14 years
67429,18-20 years,21-23 years
67443,0-2 years,0-2 years
67449,3-5 years,3-5 years
67450,12-14 years,9-11 years
67458,9-11 years,6-8 years
67470,21-23 years,9-11 years
67481,6-8 years,0-2 years
67503,3-5 years,0-2 years
67544,12-14 years,0-2 years
67545,3-5 years,3-5 years
67547,24-26 years,15-17 years
67550,30 or more years,21-23 years
67558,15-17 years,12-14 years
67579,6-8 years,0-2 years
67601,3-5 years,3-5 years
67610,6-8 years,6-8 years
67616,3-5 years,3-5 years
67642,24-26 years,18-20 years
67646,15-17 years,9-11 years
67653,6-8 years,3-5 years
67657,3-5 years,0-2 years
67659,3-5 years,0-2 years
67672,12-14 years,12-14 years
67675,9-11 years,6-8 years
67676,30 or more years,30 or more years
67691,6-8 years,6-8 years
67701,9-11 years,3-5 years
67722,24-26 years,24-26 years
67723,30 or more years,30 or more years
67731,12-14 years,9-11 years
67761,9-11 years,3-5 years
67764,3-5 years,0-2 years
67789,30 or more years,27-29 years
67801,3-5 years,3-5 years
67808,30 or more years,30 or more years
67813,9-11 years,6-8 years
67814,18-20 years,12-14 years
67831,0-2 years,0-2 years
67839,12-14 years,6-8 years
67847,3-5 years,3-5 years
67855,3-5 years,0-2 years
67859,0-2 years,0-2 years
67861,24-26 years,18-20 years
67883,3-5 years,3-5 years
67892,18-20 years,18-20 years
67894,6-8 years,6-8 years
67963,6-8 years,0-2 years
67984,30 or more years,0-2 years
68031,0-2 years,0-2 years
68059,6-8 years,0-2 years
68085,3-5 years,0-2 years
68090,18-20 years,9-11 years
68146,15-17 years,0-2 years
68152,18-20 years,9-11 years
68180,30 or more years,15-17 years
68245,9-11 years,3-5 years
68271,9-11 years,3-5 years
68287,3-5 years,0-2 years
68290,6-8 years,3-5 years
68305,15-17 years,9-11 years
68309,9-11 years,9-11 years
68314,0-2 years,0-2 years
68321,3-5 years,0-2 years
68339,18-20 years,6-8 years
68343,21-23 years,15-17 years
68350,18-20 years,12-14 years
68357,24-26 years,18-20 years
68360,6-8 years,0-2 years
68368,3-5 years,0-2 years
68369,27-29 years,12-14 years
68387,9-11 years,9-11 years
68388,6-8 years,3-5 years
68393,21-23 years,12-14 years
68399,3-5 years,0-2 years
68410,9-11 years,6-8 years
68412,0-2 years,0-2 years
68418,18-20 years,18-20 years
68422,6-8 years,0-2 years
68423,15-17 years,15-17 years
68424,15-17 years,9-11 years
68429,30 or more years,30 or more years
68453,18-20 years,15-17 years
68454,6-8 years,3-5 years
68473,15-17 years,12-14 years
68481,9-11 years,0-2 years
68500,3-5 years,0-2 years
68527,3-5 years,0-2 years
68529,6-8 years,6-8 years
68530,15-17 years,6-8 years
68531,6-8 years,3-5 years
68539,0-2 years,0-2 years
68560,3-5 years,3-5 years
68568,3-5 years,0-2 years
68578,12-14 years,3-5 years
68598,27-29 years,24-26 years
68603,15-17 years,12-14 years
68621,30 or more years,30 or more years
68622,6-8 years,3-5 years
68627,9-11 years,6-8 years
68634,6-8 years,6-8 years
68645,30 or more years,30 or more years
68672,12-14 years,9-11 years
68676,3-5 years,0-2 years
68687,18-20 years,18-20 years
68689,3-5 years,0-2 years
68700,12-14 years,6-8 years
68716,3-5 years,0-2 years
68718,12-14 years,9-11 years
68733,12-14 years,3-5 years
68739,9-11 years,6-8 years
68750,15-17 years,15-17 years
68779,18-20 years,12-14 years
68781,9-11 years,0-2 years
68782,27-29 years,18-20 years
68803,6-8 years,3-5 years
68808,3-5 years,3-5 years
68826,21-23 years,12-14 years
68829,18-20 years,12-14 years
68836,0-2 years,0-2 years
68869,0-2 years,0-2 years
68872,9-11 years,3-5 years
68876,3-5 years,0-2 years
68881,9-11 years,0-2 years
68883,15-17 years,15-17 years
68900,15-17 years,9-11 years
68915,18-20 years,15-17 years
68917,21-23 years,21-23 years
68924,15-17 years,15-17 years
68944,12-14 years,9-11 years
68946,12-14 years,9-11 years
68953,6-8 years,3-5 years
68955,3-5 years,0-2 years
68956,3-5 years,3-5 years
68963,6-8 years,3-5 years
68965,6-8 years,6-8 years
68967,3-5 years,3-5 years
68969,18-20 years,18-20 years
68986,6-8 years,6-8 years
69000,15-17 years,6-8 years
69004,12-14 years,9-11 years
69008,0-2 years,0-2 years
69031,21-23 years,21-23 years
69032,30 or more years,30 or more years
69044,3-5 years,0-2 years
69062,3-5 years,3-5 years
69088,6-8 years,3-5 years
69093,3-5 years,0-2 years
69095,6-8 years,3-5 years
69107,12-14 years,9-11 years
69120,6-8 years,0-2 years
69145,15-17 years,12-14 years
69160,15-17 years,9-11 years
69167,24-26 years,12-14 years
69171,27-29 years,21-23 years
69187,9-11 years,3-5 years
69235,3-5 years,0-2 years
69244,6-8 years,3-5 years
69248,12-14 years,9-11 years
69254,15-17 years,6-8 years
69258,3-5 years,0-2 years
69262,6-8 years,0-2 years
69271,0-2 years,0-2 years
69273,3-5 years,0-2 years
69274,3-5 years,3-5 years
69284,30 or more years,27-29 years
69286,15-17 years,12-14 years
69289,3-5 years,0-2 years
69298,12-14 years,6-8 years
69304,21-23 years,21-23 years
69309,12-14 years,6-8 years
69317,3-5 years,3-5 years
69321,6-8 years,6-8 years
69339,6-8 years,0-2 years
69340,6-8 years,3-5 years
69344,3-5 years,0-2 years
69371,0-2 years,0-2 years
69391,9-11 years,6-8 years
69402,3-5 years,3-5 years
69419,9-11 years,3-5 years
69422,15-17 years,9-11 years
69439,12-14 years,3-5 years
69475,24-26 years,24-26 years
69492,3-5 years,3-5 years
69514,0-2 years,0-2 years
69529,27-29 years,15-17 years
69558,6-8 years,0-2 years
69576,18-20 years,15-17 years
69591,6-8 years,0-2 years
69603,15-17 years,15-17 years
69613,12-14 years,6-8 years
69639,6-8 years,3-5 years
69644,12-14 years,0-2 years
69654,6-8 years,0-2 years
69672,3-5 years,0-2 years
69695,0-2 years,0-2 years
69717,9-11 years,3-5 years
69729,9-11 years,3-5 years
69732,30 or more years,12-14 years
69752,3-5 years,0-2 years
69753,3-5 years,0-2 years
69773,15-17 years,12-14 years
69777,0-2 years,0-2 years
69796,6-8 years,6-8 years
69808,6-8 years,6-8 years
69812,12-14 years,12-14 years
69821,30 or more years,18-20 years
69852,30 or more years,18-20 years
69855,30 or more years,9-11 years
69858,12-14 years,3-5 years
69868,27-29 years,24-26 years
69873,0-2 years,0-2 years
69903,18-20 years,12-14 years
69914,6-8 years,3-5 years
69927,27-29 years,21-23 years
69933,12-14 years,12-14 years
69946,3-5 years,0-2 years
69977,18-20 years,12-14 years
69990,9-11 years,6-8 years
70002,3-5 years,0-2 years
70005,15-17 years,9-11 years
70021,3-5 years,0-2 years
70041,3-5 years,0-2 years
70046,6-8 years,3-5 years
70077,12-14 years,6-8 years
70079,3-5 years,0-2 years
70092,0-2 years,0-2 years
70160,21-23 years,21-23 years
70169,6-8 years,6-8 years
70184,6-8 years,6-8 years
70196,6-8 years,6-8 years
70206,3-5 years,0-2 years
70225,12-14 years,9-11 years
70226,18-20 years,15-17 years
70252,9-11 years,9-11 years
70257,6-8 years,6-8 years
70262,30 or more years,30 or more years
70263,30 or more years,30 or more years
70271,3-5 years,0-2 years
70282,9-11 years,0-2 years
70287,12-14 years,6-8 years
70299,21-23 years,18-20 years
70302,6-8 years,3-5 years
70320,6-8 years,3-5 years
70321,9-11 years,9-11 years
70337,6-8 years,0-2 years
70348,0-2 years,0-2 years
70350,12-14 years,3-5 years
70367,3-5 years,3-5 years
70382,9-11 years,6-8 years
70383,18-20 years,12-14 years
70384,6-8 years,3-5 years
70390,9-11 years,9-11 years
70410,6-8 years,0-2 years
70412,18-20 years,18-20 years
70432,6-8 years,3-5 years
70441,3-5 years,3-5 years
70442,6-8 years,6-8 years
70448,30 or more years,24-26 years
70467,9-11 years,3-5 years
70471,30 or more years,24-26 years
70472,9-11 years,6-8 years
70518,6-8 years,9-11 years
70522,9-11 years,3-5 years
70542,6-8 years,0-2 years
70543,12-14 years,12-14 years
70544,3-5 years,3-5 years
70556,3-5 years,0-2 years
70597,30 or more years,24-26 years
70610,3-5 years,0-2 years
70614,6-8 years,6-8 years
70622,15-17 years,9-11 years
70628,3-5 years,0-2 years
70631,0-2 years,0-2 years
70669,6-8 years,3-5 years
70678,3-5 years,0-2 years
70695,9-11 years,0-2 years
70696,15-17 years,12-14 years
70697,12-14 years,12-14 years
70711,3-5 years,3-5 years
70717,30 or more years,6-8 years
70729,0-2 years,0-2 years
70730,12-14 years,3-5 years
70751,9-11 years,3-5 years
70769,18-20 years,18-20 years
